# Built-in unit-definition provenance manifest.
# Each row identifies one canonical built-in unit returned by Unit::all().
# source_ids are semicolon-separated stable identifiers from the catalog below.
# numeric_policy is exact unless a unit uses a documented finite irrational approximation.
#
# BIPM-SI-9.3.01 https://www.bipm.org/documents/20126/41483022/SI-Brochure-9-EN.pdf/2d2b50bf-f2b4-9661-f402-5f9d66e4b507?version=4.0
# NIST-SP-811-2008 https://doi.org/10.6028/NIST.SP.811e2008
# NIST-HB-44-2026 https://doi.org/10.6028/NIST.HB.44-2026
# CODATA-2022-V9.0 https://physics.nist.gov/cuu/Reference/versioncon.shtml
# NIST-DLMF-3.12 https://dlmf.nist.gov/3.12
quantity	unit	source_ids	numeric_policy	scope
acceleration	mm/s²	BIPM-SI-9.3.01;NIST-SP-811-2008	exact	SI acceleration, international foot, and standard gravity
acceleration	m/s²	BIPM-SI-9.3.01;NIST-SP-811-2008	exact	SI acceleration, international foot, and standard gravity
acceleration	ft/s²	BIPM-SI-9.3.01;NIST-SP-811-2008	exact	SI acceleration, international foot, and standard gravity
acceleration	g₀	BIPM-SI-9.3.01;NIST-SP-811-2008	exact	SI acceleration, international foot, and standard gravity
amount_of_substance	µmol	BIPM-SI-9.3.01;CODATA-2022-V9.0	exact	SI mole, decimal prefixes, and Avogadro-based particle count
amount_of_substance	mmol	BIPM-SI-9.3.01;CODATA-2022-V9.0	exact	SI mole, decimal prefixes, and Avogadro-based particle count
amount_of_substance	mol	BIPM-SI-9.3.01;CODATA-2022-V9.0	exact	SI mole, decimal prefixes, and Avogadro-based particle count
amount_of_substance	kmol	BIPM-SI-9.3.01;CODATA-2022-V9.0	exact	SI mole, decimal prefixes, and Avogadro-based particle count
amount_of_substance	particle	BIPM-SI-9.3.01;CODATA-2022-V9.0	exact	SI mole, decimal prefixes, and Avogadro-based particle count
angle	rad	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	SI angle conventions and finite pi-derived angular units
angle	°	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	SI angle conventions and finite pi-derived angular units
angle	r	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	SI angle conventions and finite pi-derived angular units
angle	′	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	SI angle conventions and finite pi-derived angular units
angle	″	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	SI angle conventions and finite pi-derived angular units
angular_velocity	rad/s	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	Angle definitions combined with SI time
angular_velocity	°/s	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	Angle definitions combined with SI time
angular_velocity	rps	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	Angle definitions combined with SI time
angular_velocity	rpm	BIPM-SI-9.3.01;NIST-DLMF-3.12	mixed_exact_and_finite_pi	Angle definitions combined with SI time
area	mm²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	cm²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	m²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	km²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	ha	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	ac	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	in²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	ft²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	yd²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
area	mi²	BIPM-SI-9.3.01;NIST-SP-811-2008;NIST-HB-44-2026	exact	SI area and exact international-foot customary area
capacitance	pF	BIPM-SI-9.3.01	exact	SI farad and decimal prefixes
capacitance	nF	BIPM-SI-9.3.01	exact	SI farad and decimal prefixes
capacitance	µF	BIPM-SI-9.3.01	exact	SI farad and decimal prefixes
capacitance	mF	BIPM-SI-9.3.01	exact	SI farad and decimal prefixes
capacitance	F	BIPM-SI-9.3.01	exact	SI farad and decimal prefixes
catalytic_activity	µkat	BIPM-SI-9.3.01;NIST-SP-811-2008	exact	SI katal and enzyme-unit conversion
catalytic_activity	mkat	BIPM-SI-9.3.01;NIST-SP-811-2008	exact	SI katal and enzyme-unit conversion
